ZIPCODE,AREA,SHAPE_ar_1,ParkInZipA,Error
10027,24695278.5,205281.3532,83394.60156,121887
10027,24695278.5,83006.88316,25294.59961,57712
10027,24695278.5,90324.10528,90324.10156,0
10027,24695278.5,988927.6056,525108,463820
10027,24695278.5,856609.4842,856610,-1
10027,24695278.5,581736.4917,165895,415841
10027,24695278.5,3215.871852,3215.870117,0
10027,24695278.5,56859.30971,34658.5,22201
10027,24695278.5,5599.882434,5599.879883,0
10027,24695278.5,1823.987456,1823.98999,0
10027,24695278.5,1976.000954,1976,0
10027,24695278.5,2308.106906,2308.110107,0
10027,24695278.5,4094.607267,4094.610107,0
10027,24695278.5,2469.058785,2469.060059,0
10027,24695278.5,1685.114833,1685.109985,0
10027,24695278.5,2475.018133,2475.02002,0
