X,Y,GISPROPNUM,LOCATION,WATERFRONT,SIGNNAME,BOROUGH,COMFORTSTA,TYPECATEGO,EAPPLY,SHAPE_area,SHAPE_len,ZCTA5CE00,CLASSFP00,MTFCC00,FUNCSTAT00
992148.106548646232113,192095.614072093507275,B300,"Adelphi St., Myrtle Ave., Clermont Ave.",N,Oracle Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Oracle Playground (PS 46),30486.51014230000,712.94923056100,11205,B5,G6350,S
993706.380056699737906,189275.899643744138302,B301,Greene Ave. bet. Waverly Ave. and Washington Ave.,N,Greene Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Greene Playground  (PS 11),59876.62858750000,1091.87105547000,11238,B5,G6350,S
1055683.066379046766087,197432.703762023913441,Q281,110 Ave. bet. 213 St. and 217 St.,N,Nakks Malls,Q,N-CONFSTA-PARK,Mall,Nakks Malls,12377.77467190000,1659.71380437000,11429,B5,G6350,S
1054203.34783597313799,184493.811311082594329,Q283,225 St. bet. 135 Ave. and 141 Ave.,N,225 Street Malls,Q,N-CONFSTA-PARK,Mall,Mall 225 Center,30527.87514630000,4768.50645938000,11413,B5,G6350,S
1029867.290198573726229,186069.461121354717761,Q285,Centreville St. bet. 133 Ave. and 103 St.,N,John Adams Playground,Q,N-CONFSTA-PARK,Jointly Operated Playground,John Adams Playground,21519.31716920000,644.04353584900,11417,B5,G6350,S
1018825.655651380890049,196342.275316669954918,Q289,"74 St., 75 St. bet. Cooper Ave. and 78 Ave.",N,Pinocchio Playground,Q,N-CONFSTA-PARK,Jointly Operated Playground,Pinocchio Playground,37386.83909580000,896.49374358000,11385,B5,G6350,S
1017034.153507802053355,196124.371810631244443,Q290,Central Ave. bet. 70 St. and 71 St.,N,"""Uncle"" Vito E. Maranzano Glendale Playground",Q,N-CONFSTA-PARK,Playground,Uncle Vito E. Maranzano Glendale Playground,50094.52732360000,900.75662859900,11385,B5,G6350,S
1046045.117565947817639,209506.486253582232166,Q300A1,Peck Ave. bet. 61 Rd. and 67 Ave.,N,Holy Cow Playground,Q,N-CONFSTA-PARK,Jointly Operated Playground,Holy Cow Playground (P.S. 179),112200.73642200000,2129.22879430000,11365,B5,G6350,S
1042214.361188825918362,191976.9358698213764,Q301,"Union Hall St., 160 St. bet. 110 Ave. and 109 Ave.",N,Jamaica Playground,Q,N-CONFSTA-PARK,Jointly Operated Playground,Jamaica Playground,131350.49701600001,1763.67494597000,11433,B5,G6350,S
1012902.781621630769223,193424.878484366839984,Q302,St Felix Ave. bet. Seneca Ave. and 60 Pl.,N,Evergreen Park,Q,N-CONFSTA-PARK,Jointly Operated Playground,Evergreen Park,128804.59985899999,1715.54661101000,11385,B5,G6350,S
1005882.343712162342854,179230.328725651663262,B304,"E. 93 St. to E. 94 St., between Lenox Rd. and Clarkson Ave.",N,Kennedy King Playground,B,Y-CONFSTA-PARK,Jointly Operated Playground,Kennedy King Playground (PS 219),34157.35395130000,741.53059685700,11212,B5,G6350,S
